lab,subid,trial_num,trial_error_recoded,trial_error_new,trial_error_change_reason
chosunbaby,h15y12,13,1,noerror,not excluding for age at trial level
chosunbaby,h15y12,14,1,noerror,not excluding for age at trial level
chosunbaby,h15y12,15,1,noerror,not excluding for age at trial level
chosunbaby,h15y12,16,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,-2,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,-1,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,1,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,2,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,3,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,4,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,5,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,6,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,7,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,8,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,9,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,10,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,11,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,12,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,13,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,14,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,15,1,noerror,not excluding for age at trial level
chosunbaby,h22y18,16,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,-2,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,-1,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,1,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,2,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,3,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,4,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,5,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,6,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,7,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,8,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,9,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,10,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,11,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,12,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,13,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,14,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,15,1,noerror,not excluding for age at trial level
chosunbaby,h27y20,16,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,-2,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,-1,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,1,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,2,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,3,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,4,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,5,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,6,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,7,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,8,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,9,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,10,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,11,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,12,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,13,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,14,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,15,1,noerror,not excluding for age at trial level
chosunbaby,h31y24,16,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,-2,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,-1,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,1,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,2,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,3,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,4,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,5,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,6,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,7,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,8,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,9,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,10,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,11,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,12,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,13,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,14,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,15,1,noerror,not excluding for age at trial level
chosunbaby,h35y25,16,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,-2,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,-1,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,1,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,2,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,3,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,4,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,5,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,6,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,7,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,8,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,9,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,10,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,11,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,12,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,13,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,14,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,15,1,noerror,not excluding for age at trial level
chosunbaby,h39y26,16,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,-2,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,-1,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,1,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,2,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,3,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,4,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,5,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,6,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,7,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,8,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,9,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,10,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,11,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,12,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,13,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,14,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,15,1,noerror,not excluding for age at trial level
chosunbaby,h41y28,16,1,noerror,not excluding for age at trial level
chosunbaby,h42y29,-2,1,noerror,not excluding for age at trial level
chosunbaby,h42y29,-1,1,noerror,not excluding for age at trial level
chosunbaby,h42y29,1,1,noerror,not excluding for age at trial level
