1. Please list your name and affiliation as you want them to appear. ,,,,,,,,,,,,,,,,,
2. Please indicate your labid if your lab submitted data.,,,,,,,,,,,,,,,,,
"3. For each of the contribution categories, please indicate M for moderate contribution or S for significant contribution (leave blank if no contribution). ",,,,,,,,,,,,,,,,,
We will alphabetize by last name after we get all contributions. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Author First Name,Author Last Name,Affiliation,labid,Grant acknowledgment(s),I CERTIFY THAT MY DATA-COLLECTION DECISIONS WERE MADE INDEPENDENT OF STUDY RESULTS.,Early Concept,Study Design,IDS/ADS Stimuli,Ran Pilot,Protocol Code/Script,Documentation,Study Management,Data Collection,Data Analysis,Stage 1 Manuscript,Stage 2 Manuscript,Other (briefly describe)
Alejandrina,Cristia,"Laboratoire de Sciences Cognitives et Psycholinguistique, Dept d'Etudes Cognitives, ENS, PSL University, EHESS, CNRS",lscp-psl,ANR-17-EURE-0017,Y,,,,,,,,(((m as in minor))),M,M,M,
Naomi,Havron,"Laboratoire de Sciences Cognitives et Psycholinguistique, Dept d'Etudes Cognitives, ENS, PSL University, EHESS, CNRS",lscp-psl,,Y,,,,,,,,S,,,,
Michelle,Lee,"University of California, San Diego",MaDLab-UCSD,,Y,,,,,,,,S,,,,
Adena,Schachner,"University of California, San Diego",MaDLab-UCSD,,Y,,,,,,,,S,,,,"Edits on 2 docs (ManyBabies RRR Pre-Proposal, and ManyBabies 1 Planning document), and online meetings (2) "
Viola,Macchi Cassia,University of Milano-Bicocca,MinDevLab_Bicocca,,Y,,,,,,,,M,,,,
Stefania,Conte,University of Milano-Bicocca,MinDevLab_Bicocca,,Y,,,,,,,,M,,,,
Laura K.,Cirelli,University of Toronto Mississauga,musdev-utm,,Y,,,,,,,,S,,,,
Sandra E.,Trehub,University of Toronto Mississauga,musdev-utm,,Y,,,,,,,,S,,,,
Paula,Fikkert,Radboud University,nijmegen_babylab,,Y,,,,,,,,M,,,,
Laura E.,Hahn,Radboud University,nijmegen_babylab,,Y,,,,,,,,S,,,,
Katharina,Menn,Radboud University,nijmegen_babylab,,Y,,,,,,,,S,,,,
Shruthilaya,Ramachandran,National University of Singapore,nus,,Y,,,,,,,,S,,,,
Leher,Singh,National University of Singapore,nus,,Y,,,,,,,,S,,,,
Miriam A ,Novack,Northwestern University,pocd-northwestern,,Y,,,,,,,,S,,,,
Sandra,Waxman,Northwestern University,pocd-northwestern,,Y,,M,,,,,,S,,,,comments on drafts
Amanda,Seidl,Purdue University,purdue-infant-speech,,Y,M,,,,,,,S,,,,
Graham,Schafer,University of Reading,reading-babylab,,,,,,,,,,M,,,,
Roberto J.,Lazo,University of Miami,socialcog-umiami,,Y,,,,,,,,M,,,,
Elizabeth A.,Simpson,University of Miami,socialcog-umiami,,Y,,,,,,,,M,,,,
Haley E. ,Kragness,McMaster University,trainorlab-mcmaster,,Y,,,,,,,,M,,,,
Laurel J.,Trainor,McMaster University,trainorlab-mcmaster,,Y,,,,,,,,M,,,,
Gisa,Aschersleben,Saarland University,uds-saarland,,Y,,,,,,,,S,,,,
Andrea A.R.,Krieger,Saarland University,uds-saarland,,Y,,,,,,,,S,,,,
Florian,Krieger,University of Luxembourg,uds-saarland,,Y,,,,,,,,S,,,,
Jennifer L.,Rennels,"University of Nevada, Las Vegas",unlv-bcrl,,Y,,M,,,,,,S,,M,M,
Yana,Ryjova,"University of Nevada, Las Vegas",unlv-bcrl,"University of Nevada, Las Vegas CSUN undergraduate research grant program",Y,,,,,,,,S,,,,"reviewed IDS literature, gave presentations of the project, audited and compiled the data from our lab"
Erin E. ,Hannon,"University of Nevada, Las Vegas",unlv-musiclab,,Y,,M,,,,,,S,,M,,"online meetings, minor comments on manuscripts"
Karli M.,Nave,"University of Nevada, Las Vegas",unlv-musiclab,,Y,,,,,,,,S,,,,
Mitsuhiko,Ota,University of Edinburgh,weescience-edinburgh,Association for Psychological Science (APS),Y,,,,,,,,S,,,,
Barbora,Skarabela,University of Edinburgh,weescience-edinburgh,Association for Psychological Science (APS),Y,,,,,,,,S,,,,
Anja,Gampe,University of Zurich,weltentdeckerzurich,,Y,,,,,,,,S,,,,
Stephanie,Wermelinger,University of Zurich,weltentdeckerzurich,,Y,,,,,,,,S,,,,
Nivedita,Mani,University of Goettingen,wsi-goettingen,Leibniz ScienceCampus Primate Cognition seed funds,Y,,,,,,,,S,,,,
Melanie S.,Schreiner,University of Goettingen,wsi-goettingen,Leibniz ScienceCampus Primate Cognition seed funds,Y,,,,,,,,S,,,,
Elika,Bergelson,Duke University,,,,M,,,,,,,,,M,,
Christina,Bergmann,Max Planck Insitute for Psycholinguistics,,,,M,M,,,M,S,S,,S,M,M,
Rhodri,Cusack,Trinity College Dublin,,,,,,S,,,,,,,M,,
Brock,Ferguson,Strong Analytics,,,,S,,,,S,,,,,,,
Michael C.,Frank,Stanford University,,,,S,S,M,,S,S,S,,S,S,S,
Danielle J.,Kellier,Stanford University,,,,,,S,S,,,,,,,,
Melissa,Kline,Massachusetts Institute of Technology,,,na,M,S,,,M,S,M,,S,S,M,
Jonathan F.,Kominsky,Harvard University,,,,,,,,M,,,,,,,"Created and distributed PyHab script for running ManyBabies1 on single-screen setups (I have no idea how many labs actually used it, if very few did feel free to put me in the acknowledgements instead)"
Matthias,Lippold,University of Goettingen,,,,,,,,,,,,M,,M,
Hugh,Rabagliati,University of Edinburgh,weescience-edinburgh,ESRC No. ES/N005635/1,,S,S,,,,,,S,M,S,,
