lab,subid,trialcount,rowcount,trial_error,present_td,lines_in_pd,age_days,notes,session_error_type,present_pd,Confirmed,Explanation,Drop or Keep
infantlanglabutk,mb1r121fs2,NA,NA,NA,FALSE,1,371,NA,"Squirmy, Exclude B1T1, B1T2, B1T3",TRUE,,,
infantlanglabutk,mb1r131fs3,NA,NA,NA,FALSE,1,415,NA,"Entire file was corrupt, unable to extract data",TRUE,X,,RealParticipantNoTrials
infantlanglabutk,mb1r144fs8,NA,NA,NA,FALSE,1,426,NA,"Entire file was corrupt, unable to extract data",TRUE,X,,RealParticipantNoTrials
infantlanglabutk,mb1r94ms1,NA,NA,NA,FALSE,1,273,NA,"squirmy, Exclude B3T4, B4T1, B4T2, B4T3, B4T4",TRUE,,,
labunam,mb01,NA,NA,NA,FALSE,1,400,NA,NA,TRUE,,,
labunam,mb02,NA,NA,NA,FALSE,1,393,NA,NA,TRUE,,,
labunam,mb03,NA,NA,NA,FALSE,1,392,NA,NA,TRUE,,,
labunam,mb04,NA,NA,NA,FALSE,1,96,NA,NA,TRUE,,,
labunam,mb05,NA,NA,NA,FALSE,1,389,NA,NA,TRUE,,,
labunam,mb06,NA,NA,NA,FALSE,1,471,NA,NA,TRUE,,,
labunam,mb07,NA,NA,NA,FALSE,1,448,NA,NA,TRUE,,,
labunam,mb08,NA,NA,NA,FALSE,1,234,NA,NA,TRUE,,,
labunam,mb09,NA,NA,NA,FALSE,1,224,NA,NA,TRUE,,,
labunam,mb10,NA,NA,NA,FALSE,1,241,NA,Languaje exclusion,TRUE,,,
labunam,mb11,NA,NA,NA,FALSE,1,408,NA,NA,TRUE,,,
labunam,mb12,NA,NA,NA,FALSE,1,359,NA,NA,TRUE,,,
labunam,mb13,NA,NA,NA,FALSE,1,457,NA,NA,TRUE,,,
labunam,mb14,NA,NA,NA,FALSE,1,385,NA,NA,TRUE,,,
labunam,mb15,NA,NA,NA,FALSE,1,459,NA,NA,TRUE,,,
labunam,mb16,NA,NA,NA,FALSE,1,375,NA,NA,TRUE,,,
labunam,mb17,NA,NA,NA,FALSE,1,399,NA,NA,TRUE,,,
labunam,mb18,NA,NA,NA,FALSE,1,352,NA,NA,TRUE,,,
labunam,mb19,NA,NA,NA,FALSE,1,443,NA,NA,TRUE,,,
labunam,mb20,NA,NA,NA,FALSE,1,456,NA,NA,TRUE,,,
labunam,mb21,NA,NA,NA,FALSE,1,401,NA,NA,TRUE,,,
labunam,mb22,NA,NA,NA,FALSE,1,411,NA,NA,TRUE,,,
labunam,mb23,NA,NA,NA,FALSE,1,391,NA,NA,TRUE,,,
labunam,mb24,NA,NA,NA,FALSE,1,368,NA,NA,TRUE,,,
labunam,mb25,NA,NA,NA,FALSE,1,210,NA,NA,TRUE,,,
labunam,mb26,NA,NA,NA,FALSE,1,238,NA,NA,TRUE,,,
labunam,mb27,NA,NA,NA,FALSE,1,269,NA,NA,TRUE,,,
labunam,mb28,NA,NA,NA,FALSE,1,289,NA,NA,TRUE,,,
labunam,mb29,NA,NA,NA,FALSE,1,236,NA,NA,TRUE,,,
labunam,mb30,NA,NA,NA,FALSE,1,198,NA,NA,TRUE,,,
labunam,mb31,NA,NA,NA,FALSE,1,246,NA,NA,TRUE,,,
labunam,mb32,NA,NA,NA,FALSE,1,187,NA,NA,TRUE,,,
labunam,mb33,NA,NA,NA,FALSE,1,219,NA,NA,TRUE,,,
labunam,mb34,NA,NA,NA,FALSE,1,243,NA,NA,TRUE,,,
labunam,mb35,NA,NA,NA,FALSE,1,213,NA,NA,TRUE,,,
labunam,mb36,NA,NA,NA,FALSE,1,255,NA,NA,TRUE,,,
labunam,mb37,NA,NA,NA,FALSE,1,204,NA,NA,TRUE,,,
labunam,mb38,NA,NA,NA,FALSE,1,198,NA,NA,TRUE,,,
labunam,mb39,NA,NA,NA,FALSE,1,221,NA,NA,TRUE,,,
labunam,mb40,NA,NA,NA,FALSE,1,206,NA,NA,TRUE,,,
labunam,mb41,NA,NA,NA,FALSE,1,281,NA,NA,TRUE,,,
labunam,mb42,NA,NA,NA,FALSE,1,185,NA,NA,TRUE,,,
minddevlabbicocca,mb01pilot,NA,NA,NA,FALSE,1,173,NA,NA,TRUE,X,subject name contains pilot,PilotParticipant
minddevlabbicocca,mb02pilot,NA,NA,NA,FALSE,1,183,NA,NA,TRUE,X,subject name contains pilot,PilotParticipant
minddevlabbicocca,mb03pilot,NA,NA,NA,FALSE,1,127,NA,NA,TRUE,X,subject name contains pilot,PilotParticipant
pocdnorthwestern,mb36,NA,NA,NA,FALSE,1,392,NA,refused to participate,TRUE,X,,RealParticipantNoTrials
pocdnorthwestern,mb8,NA,NA,NA,FALSE,1,446,NA,ET file corrupt,TRUE,X,,RealParticipantNoTrials
earlysocogfm,NA,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,X,,NALine
infantlanglabutk,mb1r122fs2,18,18,exclude,TRUE,NA,NA,NA,NA,FALSE,,,
infantlanglabutk,mb1r91fs1,18,18,Exclude,TRUE,NA,NA,NA,NA,FALSE,,,
infantlanglabutk,mbir143fs8,1,1,exclude,TRUE,NA,NA,NA,NA,FALSE,,,
infantlanglabutk,mrir131fs3,1,1,exclude,TRUE,NA,NA,NA,NA,FALSE,,,
infantlanglabutk,NA,1,4,NA,TRUE,NA,NA,NA,NA,FALSE,X,,NALine
labunam,5424,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5509,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5559,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5580,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5581,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5594,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5618,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5622,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5626,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5633,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5646,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5647,18,18,too fussy,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5652,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5665,18,18,no record,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5674,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5697,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5700,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5701,18,18,no record,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5725,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5726,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5732,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5737,18,18,no record,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5739,18,18,too fussy,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5742,18,18,no record,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5746,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5766,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5768,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5770,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5771,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5772,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5773,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5781,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5782,18,18,too fussy,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5791,18,18,too fussy,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5795,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5796,18,18,experiment ended early,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5818,18,18,too fussy and no record,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5819,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5820,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5822,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5824,8,8,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5825,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5826,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5827,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5828,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5829,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5830,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5831,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5832,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5833,1,1,NA,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5834,1,1,no record,TRUE,NA,NA,NA,NA,FALSE,,,
labunam,5885,18,18,NA,TRUE,NA,NA,NA,NA,FALSE,,,
trainorlab,s24,1,18,NA,TRUE,NA,NA,NA,NA,FALSE,X,"ID not used, placeholder trial data that should be dropped",NotData
ldlottawa,mbms37,NA,NA,NA,FALSE,1,NA,"No consent forms, FBQ and information of the baby",Experimenter,TRUE,X,"Since no consent form obtained, drop entirely!",NotData
ldlottawa,mbms38,NA,NA,NA,FALSE,1,NA,"No consent forms, FBQ and information of the baby",Experimenter,TRUE,X,"Since no consent form obtained, drop entirely!",NotData
bounbcl,mb101,NA,NA,NA,FALSE,1,444,Pilot testing. The infant was too fussy.,pilot/preterm,TRUE,X,pilot/preterm,PilotParticipant
lancaster,14mb23,NA,NA,NA,FALSE,1,NA,see note for 14mb24,missing data,TRUE,X,computer crashed,RealParticipantNoTrials
trainorlab,s10,NA,NA,NA,FALSE,1,NA,Session never began because the baby kept wanting to feed. Parent did not complete the forms and left prior to any trials starting.,"parent interference, no date, error in program",TRUE,X,Session never began because the baby kept wanting to feed. Parent did not complete the forms and left prior to any trials starting.,RealParticipantNoTrials
isplabmcgill,m21,NA,NA,NA,FALSE,1,416,Technical error: experiment not running properly,Incomplete data,TRUE,X,message taken to mean that family arrived but then presentation crashed,RealParticipantNoTrials
isplabmcgill,m26,NA,NA,NA,FALSE,1,438,Technical error: experiment not running properly,Incomplete data,TRUE,X,message taken to mean that family arrived but then presentation crashed,RealParticipantNoTrials
