lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes,,
weescience-edinburgh,MB12,ADS,ADS4,11,10.1,14.06,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS4,12,2.43,6.03,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS6,13,2.04,5.43,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS6,14,0.77,3.78,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS8,15,1.2,3.68,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS8,16,4.14,6.69,noerror,NA,NA,,
weescience-edinburgh,MB13,training,train1,-2,11.03,13.81,noerror,NA,NA,,
weescience-edinburgh,MB13,training,train2,-1,5.19,8.75,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS1,1,9.04,11.04,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS1,2,5.95,7.99,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS2,3,15.48,18,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS2,4,10.05,16.95,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS3,5,13.3,18,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS3,6,6.4,12,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS4,7,5.86,8.26,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS4,8,3.34,5.34,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS5,9,12.05,16.8,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS5,10,16.58,18,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS6,11,2.56,13.05,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS6,12,14.14,18,noerror,NA,NA,,
weescience-edinburgh,MB13,IDS,IDS7,13,16.97,18,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS7,14,1.74,10.06,noerror,NA,NA,,
weescience-edinburgh,MB13,ADS,ADS8,15,3.4,6.99,noerror,NA,baby unhappy,,
weescience-edinburgh,MB13,IDS,IDS8,16,16.45,18,noerror,NA,NA,,
weescience-edinburgh,MB14,training,train2,-2,10.33,14.15,noerror,NA,NA,,
weescience-edinburgh,MB14,training,train1,-1,10.5,15.44,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS1,1,15.72,18,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS1,2,14.93,18,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS2,3,14.87,18,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS2,4,8.3,11.28,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS3,5,13.88,18,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS3,6,14.3,18,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS4,7,8.28,18,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS4,8,14.71,18,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS5,9,17.41,18,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS5,10,7.95,12.73,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS6,11,6.43,9,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS6,12,11.73,16.2,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS7,13,7.99,11.26,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS7,14,16.91,18,noerror,NA,NA,,
weescience-edinburgh,MB14,IDS,IDS8,15,13.3,18,noerror,NA,NA,,
weescience-edinburgh,MB14,ADS,ADS8,16,7.65,11.78,noerror,NA,NA,,
weescience-edinburgh,MB15,training,train1,-2,6.39,8.39,noerror,NA,NA,,
weescience-edinburgh,MB15,training,train2,-1,16.39,18,noerror,NA,NA,,
weescience-edinburgh,MB15,IDS,IDS5,1,12.03,14.04,noerror,NA,NA,,
weescience-edinburgh,MB15,ADS,ADS5,2,4.86,6.86,noerror,NA,NA,,
weescience-edinburgh,MB15,ADS,ADS7,3,10.01,13.43,noerror,NA,NA,,
weescience-edinburgh,MB15,IDS,IDS7,4,8.72,11.5,noerror,NA,NA,,
weescience-edinburgh,MB15,ADS,ADS1,5,12.04,18,noerror,NA,NA,,
weescience-edinburgh,MB15,IDS,IDS1,6,3.92,5.92,noerror,NA,NA,,
weescience-edinburgh,MB15,ADS,ADS3,7,4.48,7.75,noerror,NA,NA,,
weescience-edinburgh,MB15,IDS,IDS3,8,5.4,9.25,noerror,NA,NA,,
weescience-edinburgh,MB15,ADS,ADS2,9,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,IDS,IDS2,10,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,IDS,IDS4,11,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,ADS,ADS4,12,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,IDS,IDS6,13,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,ADS,ADS6,14,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,IDS,IDS8,15,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB15,ADS,ADS8,16,NC,NC,error,experiment ended early,"baby inconsolable, session cancelled by participant",,
weescience-edinburgh,MB16,training,train2,-2,17.79,18,noerror,NA,NA,,
weescience-edinburgh,MB16,training,train1,-1,8.5,10.5,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS5,1,16.83,18,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS5,2,4.93,6.93,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS7,3,3.62,5.62,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS7,4,5.71,9.27,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS1,5,3.04,5.04,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS1,6,2.44,5.51,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS3,7,6.75,10.63,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS3,8,5.04,8.33,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS2,9,8.58,11.65,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS2,10,1.31,3.31,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS4,11,1.93,3.93,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS4,12,3.52,5.52,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS6,13,3.13,6.49,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS6,14,9.38,13,noerror,NA,NA,,
weescience-edinburgh,MB16,ADS,ADS8,15,5.41,9.4,noerror,NA,NA,,
weescience-edinburgh,MB16,IDS,IDS8,16,2.05,4.05,noerror,NA,NA,,
weescience-edinburgh,MB17,training,train1,-2,8.14,11.47,noerror,NA,NA,,
weescience-edinburgh,MB17,training,train2,-1,4.58,7.01,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS1,1,4.95,8.76,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS1,2,5.93,8.52,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS2,3,13.18,15.6,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS2,4,2.15,4.62,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS3,5,2.94,5.22,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS3,6,3.8,6.2,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS4,7,6.09,8.51,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS4,8,5.32,7.76,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS5,9,11.63,13.97,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS5,10,6.05,8.31,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS6,11,16.65,18,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS6,12,15.17,18,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS7,13,16.33,18,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS7,14,14.9,18,noerror,NA,NA,,
weescience-edinburgh,MB17,ADS,ADS8,15,7.41,9.63,noerror,NA,NA,,
weescience-edinburgh,MB17,IDS,IDS8,16,3.13,5.53,noerror,NA,NA,,
weescience-edinburgh,MB18,training,train2,-2,11.14,15.04,noerror,NA,NA,,
weescience-edinburgh,MB18,training,train1,-1,2.22,4.75,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS1,1,10.77,17.22,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS1,2,15.24,18,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS2,3,7.62,10.85,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS2,4,7.92,10.64,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS3,5,8.71,12.06,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS3,6,3.52,6.07,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS4,7,3.36,5.77,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS4,8,3.58,6.01,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS5,9,3.63,8.26,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS5,10,4.73,8.44,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS6,11,1.7,4.08,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS6,12,3.17,7.64,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS7,13,3.26,7.98,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS7,14,2.02,4.4,noerror,NA,NA,,
weescience-edinburgh,MB18,IDS,IDS8,15,4.49,7.22,noerror,NA,NA,,
weescience-edinburgh,MB18,ADS,ADS8,16,2.21,6.3,noerror,NA,NA,,
weescience-edinburgh,MB19,training,train1,-2,13.5,16.12,noerror,NA,NA,,
weescience-edinburgh,MB19,training,train2,-1,10.54,12.91,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS5,1,17.12,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS5,2,17.42,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS7,3,16.45,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS7,4,17.53,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS1,5,17.7,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS1,6,16.28,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS3,7,17.37,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS3,8,17.45,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS2,9,15.99,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS2,10,16.73,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS4,11,17.4,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS4,12,14.3,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS6,13,16.14,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS6,14,14.77,18,noerror,NA,NA,,
weescience-edinburgh,MB19,IDS,IDS8,15,15.25,18,noerror,NA,NA,,
weescience-edinburgh,MB19,ADS,ADS8,16,13.59,18,noerror,NA,NA,,
weescience-edinburgh,MB20,training,train2,-2,8.9,13.67,noerror,NA,restless baby,,
weescience-edinburgh,MB20,training,train1,-1,3.17,5.61,noerror,NA,restless baby,,
