lab;subid;trial_type;stimulus;trial_num;total_trial_time;looking_time;trial_error;trial_error_type;notes
weltentdecker-zurich;mb_12872;IDS;IDS8;16;18.00;16.85;noerror;NA;NA
weltentdecker-zurich;mb_12875;training;train1;-2;14.79;12.79;noerror;NA;NA
weltentdecker-zurich;mb_12875;training;train2;-1;16.33;14.33;noerror;NA;NA
weltentdecker-zurich;mb_12875;IDS;IDS5;1;18.00;16.03;noerror;NA;NA
weltentdecker-zurich;mb_12875;ADS;ADS5;2;15.84;13.84;noerror;NA;NA
weltentdecker-zurich;mb_12875;ADS;ADS7;3;16.84;9.39;noerror;NA;NA
weltentdecker-zurich;mb_12875;IDS;IDS7;4;3.92;0.29;noerror;NA;NA
weltentdecker-zurich;mb_12875;ADS;ADS1;5;8.24;5.55;noerror;NA;NA
weltentdecker-zurich;mb_12875;IDS;IDS1;6;4.95;2.82;noerror;NA;NA
weltentdecker-zurich;mb_12875;ADS;ADS3;7;3.28;1.18;noerror;NA;NA
weltentdecker-zurich;mb_12875;IDS;IDS3;8;17.79;7.34;noerror;NA;NA
weltentdecker-zurich;mb_12875;ADS;ADS2;9;6.87;0.72;noerror;NA;NA
weltentdecker-zurich;mb_12875;IDS;IDS2;10;3.79;1.60;noerror;NA;NA
weltentdecker-zurich;mb_12875;IDS;IDS4;11;2.00;0.00;error;to fussy;child tries to climb out of sear
weltentdecker-zurich;mb_12875;ADS;ADS4;12;2.00;0.00;error;to fussy;child tries to climb out of sear
weltentdecker-zurich;mb_12875;IDS;IDS6;13;2.00;0.00;error;to fussy;child tries to climb out of sear
weltentdecker-zurich;mb_12875;ADS;ADS6;14;2.00;0.00;error;to fussy;child tries to climb out of sear
weltentdecker-zurich;mb_12875;IDS;IDS8;15;2.00;0.00;error;to fussy;child tries to climb out of sear
weltentdecker-zurich;mb_12875;ADS;ADS8;16;2.00;0.00;error;to fussy;child tries to climb out of sear
weltentdecker-zurich;mb_12894;training;train1;-2;13.74;7.78;noerror;NA;NA
weltentdecker-zurich;mb_12894;training;train2;-1;12.60;9.00;noerror;NA;NA
