lab;subid;trial_type;stimulus;trial_num;looking_time;total_trial_time;trial_error;trial_error_type;notes;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS5;10;2.89;9.82;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS6;11;0.85;5.35;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS6;12;0.34;4.76;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS7;13;1.42;5.91;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS7;14;4.79;16.43;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS8;15;0.49;9.99;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS8;16;2.19;8.86;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;training;train1;-2;12.71;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;training;train2;-1;3.93;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS5;1;2.16;8.93;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS5;2;10.29;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS7;3;1.49;9.02;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS7;4;2.55;7.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS1;5;2.97;8.80;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS1;6;6.87;13.00;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS3;7;3.28;9.40;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS3;8;4.97;11.56;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS2;9;0.98;6.01;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS2;10;1.76;8.17;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS4;11;1.66;6.13;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS4;12;1.69;8.19;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS6;13;0.22;4.32;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS6;14;0.57;4.59;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;IDS;IDS8;15;0.52;10.16;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_015;ADS;ADS8;16;3.92;16.33;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;training;train2;-2;3.11;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;training;train1;-1;1.66;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS5 ;1;1.11;10.92;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS5;2;1.57;13.19;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS7;3;0.00;6.68;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS7;4;1.40;16.34;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS1;5;0.79;10.34;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS1;6;0.25;8.12;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS3;7;0.72;9.28;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS3;8;0.31;9.79;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS2;9;0.00;3.77;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS2;10;0.00;5.01;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS4;11;0.00;6.21;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS4;12;1.06;5.56;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS6;13;0.78;5.40;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS6;14;0.52;10.84;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;ADS;ADS8;15;1.13;6.27;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_016;IDS;IDS8;16;0.00;5.32;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;training;train1;-2;14.46;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;training;train2;-1;7.83;18.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS1;1;1.43;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS1;2;1.76;5.72;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS2;3;1.00;5.03;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS2;4;0.91;4.52;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS3;5;0.85;7.21;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS3;6;3.04;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS4;7;0.49;5.22;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS4;8;0.49;4.38;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS5;9;3.61;18.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS5;10;2.27;8.48;noerror;NA;NC;;;;;;;;;;;;;;;;
